bin_center_elev_m,z1_bin_count_valid,z1_bin_area_valid_km2,dhdt_bin_count,dhdt_bin_mean_ma,dhdt_bin_std_ma,dhdt_bin_med_ma,dhdt_bin_mad_ma,mb_bin_mean_mwea,mb_bin_std_mwea,mb_bin_med_mwea,mb_bin_mad_mwea,dc_dhdt_bin_count,dc_dhdt_bin_mean_ma,dc_dhdt_bin_std_ma,dc_dhdt_bin_med_ma,dc_dhdt_bin_mad_ma,dc_mb_bin_mean_mwea,dc_mb_bin_std_mwea,dc_mb_bin_med_mwea,dc_mb_bin_mad_mwea,dc_bin_count_valid,dc_bin_area_valid_km2,ts_mean,ts_std,ts_med,ts_mad,dc_ts_mean,dc_ts_std,dc_ts_med,dc_ts_mad,vm_med,vm_mad,H_mean,H_std,emvel_mean,emvel_std,emvel_med,emvel_mad,hd_ts_mean_m,hd_ts_std_m,hd_ts_med_m,hd_ts_mad_m,mf_ts_mean,mf_ts_std,mf_ts_med,mf_ts_mad
2385.0,951.0,9.51,951.0,-0.30838656,0.9495863000000001,-0.38772145,0.4532465,-0.2775479,0.85462767,-0.3489493,0.40792185,,,,,,,,,,0.0,0.0,,,,,,,,,11.420028,13.749425,204.76587,151.14604,1.402823,30.985066999999997,-0.05007605,4.5474315,,,,,1.0,0.0,1.0,0.0
2395.0,828.0,8.28,828.0,-0.3153135,0.9655184000000001,-0.4152919,0.4348436,-0.28378212,0.8689665999999999,-0.37376273,0.39135927,,,,,,,,,,0.0,0.0,,,,,,,,,12.0845175,13.584000000000001,211.3801,158.05852,0.961406,30.734284999999996,-0.03833284,5.048012,,,,,1.0,0.0,1.0,0.0
2405.0,887.0,8.87,887.0,-0.27830186,0.6729276999999999,-0.37132478,0.42761225,-0.25047168,0.6056349,-0.3341923,0.38485098,,,,,,,,,,0.0,0.0,,,,,,,,,9.4569025,10.998609,208.27934,166.94708,1.0671483999999998,24.366495,-0.052714265999999996,4.284433,,,,,1.0,0.0,1.0,0.0
2415.0,846.0,8.46,846.0,-0.28075978,0.8095634,-0.33878043,0.4793335999999999,-0.25268379999999996,0.72860706,-0.30490237,0.43140024,,,,,,,,,,0.0,0.0,,,,,,,,,10.213166000000001,11.966460000000001,223.73866,169.66121,-0.8157838000000001,30.687384,-0.043161965999999996,4.3139415,,,,,1.0,0.0,1.0,0.0
2425.0,898.0,8.98,898.0,-0.23378149,1.1155893999999997,-0.35273436,0.4914763,-0.21040331,1.0040305,-0.31746092,0.44232863,,,,,,,,,,0.0,0.0,,,,,,,,,10.32572,12.570418,224.14386000000002,163.05557,1.2570873,24.239035,0.02067618,5.485028,,,,,1.0,0.0,1.0,0.0
2435.0,867.0,8.67,867.0,-0.18393679,1.0732723,-0.29429987,0.51993185,-0.16554311,0.9659450999999999,-0.26486987,0.46793863,,,,,,,,,,0.0,0.0,,,,,,,,,8.356742,9.788899,211.4782,159.01183999999998,-2.7955492000000004,30.257647,0.00069055584,4.1923676,,,,,1.0,0.0,1.0,0.0
2445.0,884.0,8.84,884.0,-0.16889802,0.7459167,-0.25695062,0.54079664,-0.15200824,0.671325,-0.23125555,0.486717,1.0,-1.3535402,0.0,-1.3535402,0.0,-1.2181861,0.0,-1.2181861,0.0,1.0,0.01,25.418789999999998,0.0,25.418789999999998,0.0,25.418789999999998,0.0,25.418789999999998,0.0,7.532893,8.748494,208.41367,153.87431,-4.897983,30.882812,-0.02170079,3.4460227,0.5648787,0.0,0.5648787,0.0,0.2822967,0.0,0.2822967,0.0
2455.0,900.0,9.0,900.0,-0.18762739,0.7214184,-0.261563,0.5209959,-0.16886467,0.6492765,-0.2354067,0.46889636,,,,,,,,,,0.0,0.0,,,,,,,,,8.022442999999999,9.695267,213.59604,156.46618999999998,-6.373052599999999,53.35409,-0.11531701,4.3633385,,,,,1.0,0.0,1.0,0.0
2465.0,991.0,9.91,991.0,-0.117884494,1.1095587,-0.24281283,0.54574025,-0.10609603,0.99860287,-0.21853153,0.49116614,,,,,,,,,,0.0,0.0,,,,,,,,,8.524612,10.363918,223.30017,165.72064,-0.35077593,74.776596,-0.033030055,4.2857437,,,,,1.0,0.0,1.0,0.0
2475.0,1033.0,10.33,1033.0,-0.10496572400000001,0.789729,-0.19804586,0.6127021,-0.094469175,0.7107561,-0.17824127,0.55143183,,,,,,,,,,0.0,0.0,,,,,,,,,8.744864,10.653307,245.49005,177.4502,0.54270583,113.18238999999998,-0.027179716,4.6986628,,,,,1.0,0.0,1.0,0.0
