pointid,deb thickness,Lat,Long,Easting,Northing,MF
781,0.469919,60.80257525,-138.7065706,22172.69361,6740866.429,0.334296
782,0.379464,60.80256967,-138.7047331,22272.69361,6740866.429,0.405435
783,0.247773,60.80256406,-138.7028957,22372.69361,6740866.429,0.587427
784,0.167318,60.80255842,-138.7010582,22472.69361,6740866.429,0.809395
785,0.0591965,60.80255276,-138.6992207,22572.69361,6740866.429,1.6444401
786,0.452122,60.80251243,-138.6863584,23272.69361,6740866.429,0.34625
787,1.32741,60.80250657,-138.684521,23372.69361,6740866.429,0.125517
788,0.384392,60.80239041,-138.6496093,25272.69361,6740866.429,0.400788
789,0.141513,60.80238405,-138.6477719,25372.69361,6740866.429,0.921014
790,0.130552,60.80237766,-138.6459344,25472.69361,6740866.429,0.978327
791,0.122218,60.80237124,-138.644097,25572.69361,6740866.429,1.0269099
792,0.0783664,60.8023648,-138.6422595,25672.69361,6740866.429,1.39016
793,0.0309158,60.80235833,-138.6404221,25772.69361,6740866.429,2.2522099
794,0.0142582,60.80235184,-138.6385846,25872.69361,6740866.429,1.90408
795,0.0031876,60.80227879,-138.6183728,26972.69361,6740866.429,1.2021199
796,0.0030831,60.802272,-138.6165354,27072.69361,6740866.429,1.1955
797,0.0047801,60.80226518,-138.6146979,27172.69361,6740866.429,1.3031
798,0.0143292,60.80225834,-138.6128605,27272.69361,6740866.429,1.9085799
799,0.0273347,60.80225147,-138.6110231,27372.69361,6740866.429,2.2681601
800,0.0258419,60.80224458,-138.6091856,27472.69361,6740866.429,2.2681601
801,0.0175594,60.80223766,-138.6073482,27572.69361,6740866.429,2.1134
802,0.0202772,60.80223072,-138.6055108,27672.69361,6740866.429,2.2681601
803,0.0349339,60.80222375,-138.6036734,27772.69361,6740866.429,2.1398499
804,0.0855298,60.80221676,-138.6018359,27872.69361,6740866.429,1.31422
805,0.166225,60.80220974,-138.5999985,27972.69361,6740866.429,0.813568
806,0.298492,60.80220269,-138.5981611,28072.69361,6740866.429,0.500841
807,0.339611,60.80219563,-138.5963237,28172.69361,6740866.429,0.44738
808,0.261394,60.80218853,-138.5944862,28272.69361,6740866.429,0.561364
809,0.261485,60.80218141,-138.5926488,28372.69361,6740866.429,0.561196
