OID,OID_,RASTERVALU,POINT_X,POINT_Y,BL_fluxes,b1_debrism,b2_debrism,b3_debrism
-1,-1,3004.185791020000100,568882.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2986.618408200000000,569082.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2967.450195309999800,569282.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2984.541992190000200,569482.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,3032.563232420000100,569682.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,3129.837890629999900,569882.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,3027.091796879999900,570482.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2923.318847659999800,570682.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2860.711181640000200,570882.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2836.927734379999900,571082.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2828.473632809999800,571282.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,2821.287841800000000,571482.842900000050000,6744585.565800000000000,1,0,0,0
-1,-1,819.623352050999980,628482.842900000050000,6744585.565800000000000,0,254,254,254
-1,-1,819.683776855000020,628682.842900000050000,6744585.565800000000000,0,251,251,251
-1,-1,832.277832031000000,628882.842900000050000,6744585.565800000000000,0,244,244,244
-1,-1,830.602416992000030,629082.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,830.399780273000030,629282.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,835.384643555000030,629482.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,848.402954101999970,629682.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,848.891052245999960,629882.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,846.536376952999940,630082.842900000050000,6744585.565800000000000,0,244,244,244
-1,-1,838.368225098000040,630282.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,837.727539062999990,630482.842900000050000,6744585.565800000000000,0,7,7,7
-1,-1,852.535339355000020,630682.842900000050000,6744585.565800000000000,0,213,213,213
-1,-1,853.145141601999970,630882.842900000050000,6744585.565800000000000,0,0,0,0
-1,-1,819.229675293000010,631082.842900000050000,6744585.565800000000000,0,1,1,1
-1,-1,846.984069824000020,631282.842900000050000,6744585.565800000000000,0,4,4,4
-1,-1,823.094238281000000,631482.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,833.715454101999970,631682.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,823.936584473000040,631882.842900000050000,6744585.565800000000000,0,44,44,44
-1,-1,829.188049316000050,632082.842900000050000,6744585.565800000000000,0,255,255,255
-1,-1,805.249206543000010,632282.842900000050000,6744585.565800000000000,0,0,0,0
-1,-1,793.540649413999970,632482.842900000050000,6744585.565800000000000,0,0,0,0
-1,-1,765.271545410000040,632682.842900000050000,6744585.565800000000000,0,0,0,0
-1,-1,2985.533691409999800,568882.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2967.647705079999900,569082.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2953.441162109999800,569282.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2947.928710940000200,569482.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2943.246582029999900,569682.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2934.312500000000000,569882.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2907.357910159999800,570082.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2900.031005859999800,570282.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2942.022216800000000,570482.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2822.463867190000200,571082.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2815.915771479999900,571282.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2816.474853520000100,571482.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2817.942871090000200,571682.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2819.275634770000100,571882.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,2822.805664059999800,572082.842900000050000,6744185.565800000000000,1,0,0,0
-1,-1,821.727966308999950,628082.842900000050000,6744185.565800000000000,0,69,69,69
-1,-1,831.251525879000040,628282.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,829.816955566000050,628482.842900000050000,6744185.565800000000000,0,254,254,254
-1,-1,825.401306151999960,628682.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,829.193908691000050,628882.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,837.691467285000040,629082.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,845.108947754000040,629282.842900000050000,6744185.565800000000000,0,242,242,242
-1,-1,853.792297362999990,629482.842900000050000,6744185.565800000000000,0,249,249,249
-1,-1,858.264892577999940,629682.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,864.769409180000030,629882.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,852.324462891000050,630082.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,851.623168944999970,630282.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,849.296386719000000,630482.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,864.068054199000020,630682.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,860.439880370999960,630882.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,846.859680175999980,631082.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,832.080261230000020,631282.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,857.673156737999990,631482.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,851.738525391000050,631682.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,817.354125976999970,631882.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,812.349914550999980,632082.842900000050000,6744185.565800000000000,0,255,255,255
-1,-1,811.127014160000040,632282.842900000050000,6744185.565800000000000,0,231,231,231
-1,-1,810.656677245999960,632482.842900000050000,6744185.565800000000000,0,0,0,0
-1,-1,3215.915527340000200,568482.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,3067.234130859999800,568682.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2980.612060550000000,568882.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2971.438476559999800,569082.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2961.883300779999900,569282.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2959.703613279999900,569482.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2974.901855470000100,569682.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2969.082763670000100,569882.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2957.647216800000000,570082.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2830.901123050000000,571082.842900000050000,6744385.565800000000000,1,3,3,3
-1,-1,2825.558105470000100,571282.842900000050000,6744385.565800000000000,1,2,2,2
-1,-1,2820.442138670000100,571482.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,2823.324218750000000,571682.842900000050000,6744385.565800000000000,1,0,0,0
-1,-1,821.935791016000050,628482.842900000050000,6744385.565800000000000,0,253,253,253
-1,-1,821.982238769999980,628682.842900000050000,6744385.565800000000000,0,254,254,254
-1,-1,825.648498535000040,628882.842900000050000,6744385.565800000000000,0,255,255,255
-1,-1,831.383605956999990,629082.842900000050000,6744385.565800000000000,0,255,255,255
