,aice,asnow,MF
47,1.7414873520104673e-06,1.0821887681881096e-06,0.00016044647087010226
48,4.5490261718316425e-07,1.677713899099923e-06,0.00023444167845710967
49,4.4460968536658424e-07,2.3574031000237554e-06,0.00027044644761702383
50,7.633532933513608e-07,2.884844033208638e-06,0.00022130942093014208
51,1.612840723909682e-06,3.024998318983899e-06,1.7432178002513505e-05
52,3.657480889526661e-07,9.874687802233244e-07,0.000380341599120972
53,1.0688827050871528e-06,1.831450787233223e-06,0.00017817459679815426
54,7.56616117443077e-07,1.6310263583967801e-06,0.00030215393072865804
55,2.7027928890997476e-06,8.257488567181694e-07,8.220360371420903e-05
56,1.132501628697907e-06,1.6992329762783115e-06,0.000157643234085454
57,4.413232386509819e-06,5.78430477077163e-07,1.3648650549110786e-05
58,1.2838051477497038e-06,2.4052864148221506e-06,0.00010945137008679012
59,7.373380115954799e-07,2.6514996984455134e-06,0.00024512224425516375
60,6.678088991846108e-08,1.7443634329231083e-06,0.0003876290248387975
61,1.7253481781883224e-06,2.095487217760901e-06,9.032432524307281e-05
62,1.8236262329175782e-06,1.0170166844518604e-06,0.00015393589651808293
63,2.2150058187002223e-06,1.5311665103526445e-06,6.286869173662048e-05
64,1.309015062552306e-06,2.545482136151203e-06,0.0001224847602048423
65,3.3952858484224545e-06,5.353557187482396e-07,6.350639259662742e-05
66,1.1294644750093592e-06,1.4493156476661568e-06,0.00020036993539546184
67,7.374741297665434e-07,7.346175200663935e-07,0.00033212205031785797
68,1.4505731398495366e-06,6.488071698619975e-07,0.00019422073136029762
69,1.4043806825426157e-06,5.191932993981656e-07,0.0002216929930249661
70,1.0860551878899773e-06,1.9585995122161515e-06,0.00014290784664509922
71,1.8249939780644997e-06,1.2499607310624664e-07,0.00025265113119669235
72,2.0060221549970794e-06,8.576720168546397e-08,0.00022450579221894814
73,8.317221696563072e-07,1.3484488072802821e-06,0.00030741129797736555
74,1.7951840573835215e-06,1.0225526380175553e-06,0.00010474600470849246
75,1.1783027145052853e-07,1.3884436325226356e-06,0.00031744676034420284
76,1.2953400335707248e-06,5.272499503997925e-07,0.00022274078673111051
77,7.35107237416491e-07,6.85114900986017e-07,0.0003566733752084668
78,3.0097864992223095e-07,2.5069929014710184e-06,0.0002349709671584832
79,3.5893329983431853e-06,5.659060819343067e-07,8.176092560057731e-05
80,1.971453573851988e-06,1.0895544379651848e-06,0.00010049256255136629
81,7.054971538961867e-08,1.6451625976445737e-06,0.00040128071026323837
82,1.4086031844619202e-06,2.77735705337698e-07,0.00031992946142712523
83,1.057065507318215e-06,9.55048995818821e-07,0.00023953031094636203
84,7.606899249450627e-07,1.0909382386775423e-06,0.0002952035846295179
85,1.872205378792996e-06,1.4557349433712305e-06,9.206963931302964e-05
86,8.0466880986457e-06,3.0278562236585494e-07,2.355531965986241e-05
87,7.318908934851958e-07,1.3648054007926023e-06,0.00020773637639851615
88,3.798310923193317e-07,2.4602319422544028e-06,0.0002219941670726999
